,time,measurement,value
5284,1646169223.493285,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0200581550598145]"
5285,1646169223.493285,control_command,"[0.0, 0.0]"
5286,1646169223.5132828,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0200581550598145]"
5287,1646169223.5132828,control_command,"[0.0, 0.0]"
5288,1646169223.5332916,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0200037956237793]"
5289,1646169223.5332916,control_command,"[0.0, 0.0]"
5290,1646169223.5533395,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0200037956237793]"
5291,1646169223.5533395,control_command,"[0.0, 0.0]"
5292,1646169223.5752573,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0201117992401123]"
5293,1646169223.5752573,control_command,"[0.0, 0.0]"
5294,1646169223.5949392,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0201117992401123]"
5295,1646169223.5949392,control_command,"[0.0, 0.0]"
5296,1646169223.6148221,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.020033359527588]"
5297,1646169223.6148221,control_command,"[0.0, 0.0]"
5298,1646169223.634934,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.020033359527588]"
5299,1646169223.634934,control_command,"[0.0, 0.0]"
5300,1646169223.6547275,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0198702812194824]"
5301,1646169223.6547275,control_command,"[0.0, 0.0]"
5302,1646169223.674752,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0198702812194824]"
5303,1646169223.674752,control_command,"[0.0, 0.0]"
5304,1646169223.6951506,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0199134349823]"
5305,1646169223.6951506,control_command,"[0.0, 0.0]"
5306,1646169223.7146957,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0199134349823]"
5307,1646169223.7146957,control_command,"[0.0, 0.0]"
5308,1646169223.735247,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0199134349823]"
5309,1646169223.735247,control_command,"[0.0, 0.0]"
5310,1646169223.7548537,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.020172119140625]"
5311,1646169223.7548537,control_command,"[0.0, 0.0]"
5312,1646169223.7752955,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.020172119140625]"
5313,1646169223.7752955,control_command,"[0.0, 0.0]"
5314,1646169223.7956572,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0200533866882324]"
5315,1646169223.7956572,control_command,"[0.0, 0.0]"
5316,1646169223.8153079,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0200533866882324]"
5317,1646169223.8153079,control_command,"[0.0, 0.0]"
5318,1646169223.8351476,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0197627544403076]"
5319,1646169223.8351476,control_command,"[0.0, 0.0]"
5320,1646169223.8551152,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0197627544403076]"
5321,1646169223.8551152,control_command,"[0.0, 0.0]"
5322,1646169223.8742213,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019902229309082]"
5323,1646169223.8742213,control_command,"[0.0, 0.0]"
5324,1646169223.8951848,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0199179649353027]"
5325,1646169223.8951848,control_command,"[0.0, 0.0]"
5326,1646169223.9151042,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0199179649353027]"
5327,1646169223.9151042,control_command,"[0.0, 0.0]"
5328,1646169223.9350514,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0199179649353027]"
5329,1646169223.9350514,control_command,"[0.0, 0.0]"
5330,1646169223.9557445,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019949436187744]"
5331,1646169223.9557445,control_command,"[0.0, 0.0]"
5332,1646169223.97532,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019949436187744]"
5333,1646169223.97532,control_command,"[0.0, 0.0]"
5334,1646169223.9959602,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019949436187744]"
5335,1646169223.9959602,control_command,"[0.0, 0.0]"
5336,1646169224.0133178,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019813060760498]"
5337,1646169224.0133178,control_command,"[0.0, 0.0]"
5338,1646169224.0361125,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019813060760498]"
5339,1646169224.0361125,control_command,"[0.0, 0.0]"
5340,1646169224.0554068,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019874095916748]"
5341,1646169224.0554068,control_command,"[0.0, 0.0]"
5342,1646169224.0736396,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0201778411865234]"
5343,1646169224.0736396,control_command,"[0.0, 0.0]"
5344,1646169224.0955238,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0201778411865234]"
5345,1646169224.0955238,control_command,"[0.0, 0.0]"
5346,1646169224.1151495,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0201778411865234]"
5347,1646169224.1151495,control_command,"[0.0, 0.0]"
5348,1646169224.134917,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0200443267822266]"
5349,1646169224.134917,control_command,"[0.0, 0.0]"
5350,1646169224.1565754,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0200443267822266]"
5351,1646169224.1565754,control_command,"[0.0, 0.0]"
5352,1646169224.175058,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0200035572052]"
5353,1646169224.175058,control_command,"[0.0, 0.0]"
5354,1646169224.1950603,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0200035572052]"
5355,1646169224.1950603,control_command,"[0.0, 0.0]"
5356,1646169224.2154486,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0200035572052]"
5357,1646169224.2154486,control_command,"[0.0, 0.0]"
5358,1646169224.2349942,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019944190979004]"
5359,1646169224.2349942,control_command,"[0.0, 0.0]"
5360,1646169224.2546852,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019944190979004]"
5361,1646169224.2546852,control_command,"[0.0, 0.0]"
5362,1646169224.27525,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0200018882751465]"
5363,1646169224.27525,control_command,"[0.0, 0.0]"
5364,1646169224.2947779,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0200018882751465]"
5365,1646169224.2947779,control_command,"[0.0, 0.0]"
5366,1646169224.314674,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0200018882751465]"
5367,1646169224.314674,control_command,"[0.0, 0.0]"
5368,1646169224.335098,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019972324371338]"
5369,1646169224.335098,control_command,"[0.0, 0.0]"
5370,1646169224.3550715,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019904136657715]"
5371,1646169224.3550715,control_command,"[0.0, 0.0]"
5372,1646169224.3736,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019904136657715]"
5373,1646169224.3736,control_command,"[0.0, 0.0]"
5374,1646169224.395289,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019904136657715]"
5375,1646169224.395289,control_command,"[0.0, 0.0]"
5376,1646169224.4155984,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0199506282806396]"
