gevd_dim_0,gevd
718,0.17297260463237762
719,0.1913687288761139
720,0.1825801134109497
721,0.18190915882587433
722,0.18627744913101196
723,0.16782663762569427
724,0.1744709014892578
725,0.1746615320444107
726,0.16944102942943573
727,0.17413277924060822
728,0.1744353026151657
729,0.18753363192081451
730,0.18602421879768372
731,0.1772707849740982
732,0.18948745727539062
733,0.17476482689380646
734,0.1638185828924179
735,0.17253059148788452
736,0.20338231325149536
737,0.1735348254442215
738,0.18914496898651123
739,0.17387957870960236
740,0.17747730016708374
741,0.17188610136508942
742,0.1765448898077011
743,0.19240286946296692
744,0.1901727318763733
745,0.16402795910835266
746,0.206694096326828
747,0.17376387119293213
748,0.16651710867881775
749,0.1924973577260971
750,0.19637443125247955
751,0.18675923347473145
752,0.17815770208835602
753,0.1654227077960968
754,0.17495004832744598
755,0.1777363270521164
756,0.1657094806432724
757,0.1752820760011673
758,0.17345359921455383
759,0.16458530724048615
760,0.1804332137107849
761,0.1901254653930664
762,0.1735379546880722
763,0.17847588658332825
764,0.16697466373443604
765,0.15783260762691498
766,0.17758823931217194
767,0.17130915820598602
768,0.18445326387882233
769,0.1752621829509735
770,0.18885871767997742
771,0.17462947964668274
772,0.17861802875995636
773,0.17719458043575287
774,0.1696757972240448
775,0.16624601185321808
776,0.1738397628068924
777,0.1658189743757248
778,0.1925896853208542
779,0.1921451836824417
780,0.1678605079650879
781,0.1710508018732071
782,0.1810038536787033
783,0.19979749619960785
784,0.17652854323387146
785,0.18987692892551422
786,0.1776859611272812
787,0.17439888417720795
788,0.2016424834728241
789,0.1962442845106125
790,0.171002596616745
791,0.16336829960346222
792,0.1770046353340149
793,0.20444631576538086
794,0.17035405337810516
795,0.1890198290348053
796,0.17204375565052032
797,0.17312170565128326
798,0.18397565186023712
799,0.17475992441177368
800,0.18278656899929047
801,0.1635781228542328
802,0.18829722702503204
803,0.1780380755662918
804,0.19053761661052704
805,0.18077319860458374
806,0.17100581526756287
807,0.17563477158546448
808,0.181691512465477
809,0.18298228085041046
810,0.18013522028923035
811,0.1937042623758316
812,0.17383189499378204
813,0.18912702798843384
814,0.17129382491111755
815,0.19540086388587952
816,0.19936633110046387
817,0.17136313021183014
818,0.17895564436912537
819,0.17191863059997559
820,0.17274415493011475
821,0.17479397356510162
822,0.1865161657333374
823,0.17321133613586426
824,0.18905360996723175
825,0.19462479650974274
826,0.18228024244308472
827,0.16649669408798218
828,0.17160150408744812
829,0.1808479130268097
830,0.20099106431007385
831,0.17478173971176147
832,0.18083250522613525
833,0.1739407479763031
834,0.17035390436649323
835,0.18848168849945068
836,0.20498450100421906
837,0.18424934148788452
838,0.17535871267318726
839,0.17896434664726257
840,0.1681075245141983
841,0.19024336338043213
842,0.17056222259998322
843,0.16893984377384186
844,0.1756216287612915
845,0.17617309093475342
846,0.17682871222496033
847,0.18786190450191498
848,0.18854762613773346
849,0.17757944762706757
850,0.15874071419239044
851,0.1653055101633072
852,0.18321864306926727
853,0.1766120046377182
854,0.17685134708881378
855,0.16274838149547577
856,0.17378535866737366
857,0.18679554760456085
858,0.17807789146900177
859,0.17117354273796082
